Autovetture distinte per regione alimentazione e fascia di cilindrata Anno 2021,,,,,,,,,,,,
REGIONE,ALIMENTAZIONE,FASCIA,EURO 0,EURO 1,EURO 2,EURO 3,EURO 4,EURO 5,EURO 6,Non contemplato,Non identificato,TOTALE
CAMPANIA Totale,,,610367,128672,341852,433466,931231,496649,634334,2945,4133,3583649
CALABRIA,BENZINA,Fino a 1400,127251,29673,83407,68927,93655,35045,63038,,1136,502132
CALABRIA,,1401 - 2000,20086,9038,11873,4282,5908,1548,2921,,133,55789
CALABRIA,,Oltre 2000,1670,519,792,512,970,225,351,,9,5048
CALABRIA,,Non definito,42,,,1,,,,,2,45
CALABRIA,BENZINA Totale,,149049,39230,96072,73722,100533,36818,66310,,1280,563014
CALABRIA,BENZINA E GAS LIQUIDO,Fino a 1400,2857,642,1598,1064,11567,5198,7511,,7,30444
CALABRIA,,1401 - 2000,4183,2058,2114,573,1599,776,897,,1,12201
CALABRIA,,Oltre 2000,204,94,138,110,197,9,3,,,755
CALABRIA,,Non definito,1,1,,1,1,,,,,4
CALABRIA,BENZINA E GAS LIQUIDO Totale,,7245,2795,3850,1748,13364,5983,8411,,8,43404
CALABRIA,BENZINA E METANO,Fino a 1400,146,44,152,103,1458,1869,1139,,,4911
CALABRIA,,1401 - 2000,96,52,93,113,308,7,17,,,686
CALABRIA,,Oltre 2000,9,2,10,1,22,2,,,,46
CALABRIA,BENZINA E METANO Totale,,251,98,255,217,1788,1878,1156,,,5643
CALABRIA,ELETTRICITA,Non contemplato,,,,,,,,923,,923
CALABRIA,ELETTRICITA Totale,,,,,,,,,923,,923
CALABRIA,GASOLIO,Fino a 1400,8051,692,269,17338,107202,45709,23468,,4,202733
CALABRIA,,1401 - 2000,19410,9543,37374,74345,96183,77277,115650,,22,429804
CALABRIA,,Oltre 2000,12493,4791,12569,12903,11686,6608,7790,,20,68860
CALABRIA,,Non definito,3,,1,,,,,,,4
CALABRIA,GASOLIO Totale,,39957,15026,50213,104586,215071,129594,146908,,46,701401
CALABRIA,IBRIDO BENZINA,Fino a 1400,,,,,6,28,7195,,,7229
CALABRIA,,1401 - 2000,,,,,21,315,4133,,,4469
CALABRIA,,Oltre 2000,,,,,9,3,529,,,541
CALABRIA,IBRIDO BENZINA Totale,,,,,,36,346,11857,,,12239
CALABRIA,IBRIDO GASOLIO,1401 - 2000,,,,1,,30,1192,,,1223
CALABRIA,,Oltre 2000,,,,,,4,267,,,271
CALABRIA,IBRIDO GASOLIO Totale,,,,,1,,34,1459,,,1494
CALABRIA,METANO,Fino a 1400,8,2,9,,1,197,645,,,862
CALABRIA,,1401 - 2000,8,4,3,5,44,39,252,,,355
CALABRIA,,Oltre 2000,,,,,,,3,,,3
