Autovetture distinte per regione alimentazione e fascia di cilindrata Anno 2021,,,,,,,,,,,,
REGIONE,ALIMENTAZIONE,FASCIA,EURO 0,EURO 1,EURO 2,EURO 3,EURO 4,EURO 5,EURO 6,Non contemplato,Non identificato,TOTALE
PUGLIA,IBRIDO GASOLIO,1401 - 2000,,,,,,101,2858,,,2959
PUGLIA,,Oltre 2000,1,,,,,9,728,,,738
PUGLIA,IBRIDO GASOLIO Totale,,1,,,,,110,3586,,,3697
PUGLIA,METANO,Fino a 1400,43,18,25,23,9,1643,3689,,,5450
PUGLIA,,1401 - 2000,67,35,49,104,1504,600,1403,,,3762
PUGLIA,,Oltre 2000,7,1,2,1,2,,6,,,19
PUGLIA,METANO Totale,,117,54,76,128,1515,2243,5098,,,9231
PUGLIA,ALTRE,Fino a 1400,19,,,,,,,,,19
PUGLIA,,1401 - 2000,1,,,,,,,,,1
PUGLIA,,Non definito,1,,,,,,,,,1
PUGLIA,ALTRE Totale,,21,,,,,,,,,21
PUGLIA,NON DEFINITO,Fino a 1400,43,,,2,,,,,13,58
PUGLIA,,1401 - 2000,10,,,3,1,,,,1,15
PUGLIA,,Non definito,10,,,,,,,,3,13
PUGLIA,NON DEFINITO Totale,,63,,,5,1,,,,17,86
PUGLIA Totale,,,256360,64265,211962,336688,705679,389898,466901,2285,1612,2435650
BASILICATA,BENZINA,Fino a 1400,27591,6079,19772,17939,24340,8825,16303,,178,121027
BASILICATA,,1401 - 2000,4804,1902,2987,1140,1733,479,789,,23,13857
BASILICATA,,Oltre 2000,473,130,230,158,318,83,149,,1,1542
BASILICATA,,Non definito,37,,,,,,,,,37
BASILICATA,BENZINA Totale,,32905,8111,22989,19237,26391,9387,17241,,202,136463
BASILICATA,BENZINA E GAS LIQUIDO,Fino a 1400,789,191,595,524,4824,2365,5836,,,15124
BASILICATA,,1401 - 2000,987,506,646,216,727,344,352,,1,3779
BASILICATA,,Oltre 2000,44,25,37,27,67,2,,,,202
BASILICATA,,Non definito,20,5,4,3,10,,,,,42
BASILICATA,BENZINA E GAS LIQUIDO Totale,,1840,727,1282,770,5628,2711,6188,,1,19147
BASILICATA,BENZINA E METANO,Fino a 1400,78,27,120,100,1369,1694,2271,,,5659
BASILICATA,,1401 - 2000,53,38,106,136,309,6,9,,,657
BASILICATA,,Oltre 2000,5,1,5,3,31,3,,,,48
BASILICATA,BENZINA E METANO Totale,,136,66,231,239,1709,1703,2280,,,6364
BASILICATA,ELETTRICITA,Non contemplato,,,,,,,,387,,387
BASILICATA,ELETTRICITA Totale,,,,,,,,,387,,387
BASILICATA,GASOLIO,Fino a 1400,1434,143,95,4886,29799,11642,5842,,2,53843
BASILICATA,,1401 - 2000,4604,2432,11814,26215,34028,27935,32235,,4,139267
BASILICATA,,Oltre 2000,3301,1210,3223,4205,3979,2408,3299,,3,21628
BASILICATA,,Non definito,6,,,,3,,,,,9
BASILICATA,GASOLIO Totale,,9345,3785,15132,35306,67809,41985,41376,,9,214747
BASILICATA,IBRIDO BENZINA,Fino a 1400,,,,,,11,2419,,,2430
BASILICATA,,1401 - 2000,,,,,6,80,902,,,988
BASILICATA,,Oltre 2000,,,,,1,5,115,,,121
BASILICATA,IBRIDO BENZINA Totale,,,,,,7,96,3436,,,3539
BASILICATA,IBRIDO GASOLIO,1401 - 2000,,,,,,21,376,,,397
BASILICATA,,Oltre 2000,,,,,,1,114,,,115
BASILICATA,IBRIDO GASOLIO Totale,,,,,,,22,490,,,512
BASILICATA,METANO,Fino a 1400,21,6,17,13,8,211,583,,,859
BASILICATA,,1401 - 2000,30,14,23,10,71,39,249,,,436
BASILICATA,,Oltre 2000,1,1,2,,1,,1,,,6
BASILICATA,,Non definito,2,,1,,1,,,,,4
BASILICATA,METANO Totale,,54,21,43,23,81,250,833,,,1305
BASILICATA,ALTRE,Fino a 1400,1,,,,,,,,,1
BASILICATA,ALTRE Totale,,1,,,,,,,,,1
BASILICATA,NON DEFINITO,Fino a 1400,1,,,1,,,,,,2
BASILICATA,,Non definito,1,,,,,,,,1,2
BASILICATA,NON DEFINITO Totale,,2,,,1,,,,,1,4
BASILICATA Totale,,,44283,12710,39677,55576,101625,56154,71844,387,213,382469
SICILIA,BENZINA,Fino a 1400,307895,68417,219127,196706,312385,122398,196256,,1836,1425020
SICILIA,,1401 - 2000,53756,23257,39009,16115,20287,5245,8417,,220,166306
SICILIA,,Oltre 2000,5221,1392,2307,1768,2980,670,1248,,24,15610
SICILIA,,Non definito,232,3,,,,,,,5,240
SICILIA,BENZINA Totale,,367104,93069,260443,214589,335652,128313,205921,,2085,1607176
SICILIA,BENZINA E GAS LIQUIDO,Fino a 1400,7300,1377,3875,3149,38976,18527,24620,,11,97835
SICILIA,,1401 - 2000,10680,4345,5124,1835,4814,2861,2484,,8,32151
SICILIA,,Oltre 2000,437,168,318,219,554,28,6,,2,1732
SICILIA,,Non definito,4,,1,1,,,,,,6
SICILIA,BENZINA E GAS LIQUIDO Totale,,18421,5890,9318,5204,44344,21416,27110,,21,131724
SICILIA,BENZINA E METANO,Fino a 1400,333,84,359,359,6161,5769,3105,,1,16171
SICILIA,,1401 - 2000,268,171,428,464,1011,21,15,,1,2379
SICILIA,,Oltre 2000,14,8,22,14,49,4,,,,111
SICILIA,BENZINA E METANO Totale,,615,263,809,837,7221,5794,3120,,2,18661
SICILIA,ELETTRICITA,Non contemplato,,,,,,,,3096,,3096
SICILIA,ELETTRICITA Totale,,,,,,,,,3096,,3096
SICILIA,GASOLIO,Fino a 1400,12688,940,864,50133,244454,92481,38346,,7,439913
SICILIA,,1401 - 2000,33804,14009,74344,187124,254118,201718,254294,,21,1019432
SICILIA,,Oltre 2000,21595,8931,28140,34369,29916,17909,19484,,13,160357
SICILIA,,Non definito,9,2,2,1,,,,,,14
SICILIA,GASOLIO Totale,,68096,23882,103350,271627,528488,312108,312124,,41,1619716
SICILIA,IBRIDO BENZINA,Fino a 1400,,,,,10,96,17722,,,17828
SICILIA,,1401 - 2000,,,,,48,842,10929,,,11819
SICILIA,,Oltre 2000,,,,,22,21,1394,,,1437
SICILIA,IBRIDO BENZINA Totale,,,,,,80,959,30045,,,31084
SICILIA,IBRIDO GASOLIO,1401 - 2000,,,,,,75,2511,,,2586
SICILIA,,Oltre 2000,,,,1,,8,521,,,530
SICILIA,IBRIDO GASOLIO Totale,,,,,1,,83,3032,,,3116
SICILIA,METANO,Fino a 1400,26,7,22,8,34,849,1607,,,2553
SICILIA,,1401 - 2000,38,32,45,16,156,65,386,,,738
SICILIA,,Oltre 2000,3,2,2,4,3,,3,,,17
SICILIA,METANO Totale,,67,41,69,28,193,914,1996,,,3308
SICILIA,ALTRE,Fino a 1400,12,,1,,,,,,,13
SICILIA,,1401 - 2000,2,,1,2,,1,,,,6
SICILIA,,Oltre 2000,1,,,,,,,,,1
SICILIA,ALTRE Totale,,15,,2,2,,1,,,,20
SICILIA,NON DEFINITO,Fino a 1400,80,,,,,,,,8,88
SICILIA,,1401 - 2000,9,1,1,2,,,,,,13
SICILIA,,Oltre 2000,1,,,,,,,,,1
SICILIA,,Non definito,19,,,,,,,,8,27
SICILIA,NON DEFINITO Totale,,109,1,1,2,,,,,16,129
SICILIA Totale,,,454427,123146,373992,492290,915978,469588,583348,3096,2165,3418030
SARDEGNA,BENZINA,Fino a 1400,67713,14553,55367,64050,118301,50440,91452,,570,462446
SARDEGNA,,1401 - 2000,11596,5316,9977,6599,10376,2824,4526,,65,51279
SARDEGNA,,Oltre 2000,1097,317,569,546,1049,205,379,,9,4171
SARDEGNA,,Non definito,19,1,,,,,,,3,23
SARDEGNA,BENZINA Totale,,80425,20187,65913,71195,129726,53469,96357,,647,517919
SARDEGNA,BENZINA E GAS LIQUIDO,Fino a 1400,1303,238,713,630,9943,2805,2670,,3,18305
SARDEGNA,,1401 - 2000,1816,789,1126,618,1692,572,395,,3,7011
SARDEGNA,,Oltre 2000,115,49,108,89,194,11,1,,,567
SARDEGNA,,Non definito,1,,,,,,,,,1
SARDEGNA,BENZINA E GAS LIQUIDO Totale,,3235,1076,1947,1337,11829,3388,3066,,6,25884
SARDEGNA,BENZINA E METANO,Fino a 1400,52,8,29,19,155,115,52,,,430
SARDEGNA,,1401 - 2000,32,15,27,18,37,,,,,129
SARDEGNA,,Oltre 2000,1,2,2,1,,,,,,6
SARDEGNA,BENZINA E METANO Totale,,85,25,58,38,192,115,52,,,565
SARDEGNA,ELETTRICITA,Non contemplato,,,,,,,,1653,,1653
SARDEGNA,ELETTRICITA Totale,,,,,,,,,1653,,1653
SARDEGNA,GASOLIO,Fino a 1400,2211,224,89,14024,68993,27585,10016,,,123142
SARDEGNA,,1401 - 2000,7154,2716,14344,53444,93897,78277,100401,,5,350238
SARDEGNA,,Oltre 2000,5441,2726,9243,12400,12364,7244,6387,,6,55811
SARDEGNA,,Non definito,3,,,,,,,,,3
SARDEGNA,GASOLIO Totale,,14809,5666,23676,79868,175254,113106,116804,,11,529194
SARDEGNA,IBRIDO BENZINA,Fino a 1400,,,,,5,49,6922,,,6976
SARDEGNA,,1401 - 2000,,,,1,42,382,5430,,,5855
SARDEGNA,,Oltre 2000,,,,,11,12,702,,,725
SARDEGNA,IBRIDO BENZINA Totale,,,,,1,58,443,13054,,,13556
SARDEGNA,IBRIDO GASOLIO,1401 - 2000,,,,,,26,851,,,877
SARDEGNA,,Oltre 2000,,,,,,6,151,,,157
SARDEGNA,IBRIDO GASOLIO Totale,,,,,,,32,1002,,,1034
SARDEGNA,METANO,Fino a 1400,2,1,3,,1,11,14,,,32
SARDEGNA,,1401 - 2000,1,,,1,11,4,7,,,24
SARDEGNA,METANO Totale,,3,1,3,1,12,15,21,,,56
SARDEGNA,ALTRE,Fino a 1400,4,,,,,,,,,4
SARDEGNA,ALTRE Totale,,4,,,,,,,,,4
SARDEGNA,NON DEFINITO,Fino a 1400,20,,,,,,,,2,22
SARDEGNA,,1401 - 2000,1,,,,,,,,2,3
SARDEGNA,,Oltre 2000,1,,,,,,,,,1
SARDEGNA,,Non definito,6,,,,,,,,,6
SARDEGNA,NON DEFINITO Totale,,28,,,,,,,,4,32
SARDEGNA Totale,,,98589,26955,91597,152440,317071,170568,230356,1653,668,1089897
NON DEFINITO,BENZINA,Fino a 1400,5419,123,277,62,116,,,,98,6095
NON DEFINITO,,1401 - 2000,2669,118,111,22,24,,,,17,2961
NON DEFINITO,,Oltre 2000,484,20,26,12,8,,,,2,552
NON DEFINITO,,Non definito,9,,,,,,,,8,17
NON DEFINITO,BENZINA Totale,,8581,261,414,96,148,,,,125,9625
NON DEFINITO,BENZINA E GAS LIQUIDO,Fino a 1400,91,1,1,,,,,,,93
NON DEFINITO,,1401 - 2000,109,6,4,1,,,,,,120
NON DEFINITO,,Oltre 2000,9,3,,,,,,,,12
NON DEFINITO,,Non definito,2,,,,,,,,,2
NON DEFINITO,BENZINA E GAS LIQUIDO Totale,,211,10,5,1,,,,,,227
NON DEFINITO,BENZINA E METANO,Fino a 1400,27,1,1,,6,,,,,35
NON DEFINITO,,1401 - 2000,23,1,1,1,,,,,,26
NON DEFINITO,,Oltre 2000,2,,,,,,,,,2
NON DEFINITO,BENZINA E METANO Totale,,52,2,2,1,6,,,,,63
NON DEFINITO,GASOLIO,Fino a 1400,178,2,,3,14,1,,,,198
NON DEFINITO,,1401 - 2000,1072,31,34,35,28,1,,,2,1203
NON DEFINITO,,Oltre 2000,758,27,32,25,7,,,,4,853
NON DEFINITO,,Non definito,1,,,,,,,,,1
NON DEFINITO,GASOLIO Totale,,2009,60,66,63,49,2,,,6,2255
NON DEFINITO,METANO,Fino a 1400,1,,,,,,,,,1
NON DEFINITO,,1401 - 2000,,,,,1,,,,,1
NON DEFINITO,METANO Totale,,1,,,,1,,,,,2
NON DEFINITO,NON DEFINITO,Fino a 1400,24,4,1,1,,,,,4,34
NON DEFINITO,,1401 - 2000,19,14,,1,,,,,3,37
NON DEFINITO,,Oltre 2000,3,9,,,,,,,2,14
NON DEFINITO,,Non definito,2124,4,,,,,,,1784,3912
NON DEFINITO,NON DEFINITO Totale,,2170,31,1,2,,,,,1793,3997
NON DEFINITO Totale,,,13024,364,488,163,204,2,,,1924,16169
ITALIA,BENZINA,Fino a 1400,2155528,415941,1490449,1617895,3533888,1884990,3826115,,16234,14941040
ITALIA,,1401 - 2000,532881,208570,395351,218493,500577,201859,476943,,2401,2537075
ITALIA,,Oltre 2000,94232,23947,38694,31477,66886,18646,53032,,379,327293
ITALIA,,Non definito,1173,8,5,1,2,6,,,53,1248
ITALIA,BENZINA Totale,,2783814,648466,1924499,1867866,4101353,2105501,4356090,,19067,17806656
ITALIA,BENZINA E GAS LIQUIDO,Fino a 1400,88075,14883,52643,61506,707407,429669,825222,,193,2179598
ITALIA,,1401 - 2000,98875,35903,58089,32220,151465,85299,104336,,137,566324
ITALIA,,Oltre 2000,7448,2596,5554,5131,13586,1117,559,,15,36006
ITALIA,,Non definito,79,8,6,9,22,1,,,4,129
ITALIA,BENZINA E GAS LIQUIDO Totale,,194477,53390,116292,98866,872480,516086,930117,,349,2782057
ITALIA,BENZINA E METANO,Fino a 1400,17740,4137,16694,17706,229840,228804,184073,,39,699033
ITALIA,,1401 - 2000,13368,5683,14205,17543,51612,937,1229,,21,104598
ITALIA,,Oltre 2000,831,274,514,369,3099,430,1,,3,5521
ITALIA,,Non definito,4,,,,,,,,1,5
ITALIA,BENZINA E METANO Totale,,31943,10094,31413,35618,284551,230171,185303,,64,809157
ITALIA,ELETTRICITA,Non contemplato,,,,,,,,118034,,118034
ITALIA,ELETTRICITA Totale,,,,,,,,,118034,,118034
ITALIA,GASOLIO,Fino a 1400,86288,5197,4436,347056,1662373,889165,508683,,47,3503245
ITALIA,,1401 - 2000,285123,94744,485265,1412759,2375968,2674510,4360819,,171,11689359
ITALIA,,Oltre 2000,195468,65149,209994,343559,384575,298625,402945,,190,1900505
ITALIA,,Non definito,141,5,8,7,5,1,,,1,168
ITALIA,GASOLIO Totale,,567020,165095,699703,2103381,4422921,3862301,5272447,,409,17093277
ITALIA,IBRIDO BENZINA,Fino a 1400,1,,,,483,4718,403133,,,408335
ITALIA,,1401 - 2000,8,,2,1,2793,35950,410834,,,449588
ITALIA,,Oltre 2000,3,,,1,1985,1700,65392,,,69081
ITALIA,,Non definito,1,,,,,,1,,,2
ITALIA,IBRIDO BENZINA Totale,,13,,2,2,5261,42368,879360,,,927006
ITALIA,IBRIDO GASOLIO,Fino a 1400,,,,,,,3,,,3
ITALIA,,1401 - 2000,1,,1,2,,1720,82358,,,84082
ITALIA,,Oltre 2000,11,,,13,,294,20085,,,20403
ITALIA,IBRIDO GASOLIO Totale,,12,,1,15,,2014,102446,,,104488
ITALIA,METANO,Fino a 1400,503,115,270,208,273,25709,74803,,,101881
ITALIA,,1401 - 2000,545,205,383,1588,25424,11718,33857,,,73720
ITALIA,,Oltre 2000,54,10,21,8,40,4,60,,,197
ITALIA,,Non definito,2,,1,,1,,5,,,9
ITALIA,METANO Totale,,1104,330,675,1804,25738,37431,108725,,,175807
ITALIA,ALTRE,Fino a 1400,517,1,2,,6,14,4,,,544
ITALIA,,1401 - 2000,10,5,6,6,5,3,10,,,45
ITALIA,,Oltre 2000,2,,1,,2,,2,,,7
ITALIA,,Non definito,2,,,,,,11,,,13
ITALIA,ALTRE Totale,,531,6,9,6,13,17,27,,,609
ITALIA,NON DEFINITO,Fino a 1400,882,8,5,34,10,,,,107,1046
ITALIA,,1401 - 2000,176,23,8,22,11,,,,19,259
ITALIA,,Oltre 2000,19,9,1,7,1,,,,4,41
ITALIA,,Non definito,2383,7,,,6,2,,,1888,4286
ITALIA,NON DEFINITO Totale,,3460,47,14,63,28,2,,,2018,5632
TOTALE NAZIONALE,,,3582374,877428,2772608,4107621,9712345,6795891,11834515,118034,21907,39822723
